73,1,0.9293531179428101,73
57,2,0.92192542552948,40
31,1,0.9560074210166931,31
3,1,0.9379068613052368,3
66,1,0.9516937136650085,66
43,1,0.9701289534568787,43
21,1,0.9269825220108032,21
25,1,0.9904088973999023,25
47,13,0.7452538013458252,66
33,1,0.9476081132888794,33
52,1,0.9912936687469482,52
22,1,0.9323190450668335,22
29,1,0.9807463884353638,29
80,1,0.9647662043571472,80
27,1,0.9866777062416077,27
28,1,0.9577622413635254,28
70,1,0.9269678592681885,70
40,4,0.9174919128417969,22
75,1,0.9715420007705688,75
